empID,empName,uan,dept,designation,pay,gp,pf,bankAccNum,bankName,doj,salaryCategory,emailID,groupInsurance,payBand,branchName,ifscCode,designationCategory,emailID2,nonteach,Subject,cca,ta,dop,doc,appointment,category,gender,status,mobile,address_correspondence,address_permanent,vacation,seniority,dept_seniority,aadhar,Pan_No,onrole,phd,phdSub,phdUni,phdInsti,phdYr,pgSub,pgUni,pgYr,ugSub,ugUni,ugYr,grade,netset,othqual,exp,industry_exp,uni_approval,uni_app_date,uni_app_period,workexNT,dob,emp_temp_regime,photo,paycommission
EMP133,Joseph P,1.00E+11,CE,Technical Assistant,9300,4600,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kshitij.deshpande7@gmail.com,1000,9300-34800,Warje,JSBP0012140,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,24-08-2021,24-08-2021,permanent,SC,female,married,1234567901,"Flat no.123, A wing, B Society, Pune-411050","A/P-Narhe, Tal-Haveli, Dist-Pune-411051",Yes,11,3,1.23E+11,ABCDE1234D,Yes,,,,,2025,,,2020,,,2010,,no,,5,6,CC0/AAP/54325,05-10-2023,9,1,05-10-1975 00:10,old,,6th 
EMP134,Aakash Patel,1.00E+11,IT,Lab. Assistant,9300,4200,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,ramesh@gmail.com,1200,9300-34800,Kothrud,JSBP0012140,Non-Teaching,ramesh@gmail.com,yes,,150,200,25-08-2021,25-08-2021,permanent,ST,female,married,1234567902,"Flat no.123, A wing, B Society, Pune-411051","A/P-Narhe, Tal-Haveli, Dist-Pune-411052",Yes,12,4,1.23E+11,ABCDE5678Z,Yes,,,,,2026,,,2021,,,2010,,no,,5,6,CC0/AAP/54326,05-10-2024,7,1,05-10-1975 00:11,old,,6th 
EMP135,Ganesh Rahu,1.00E+11,IT,Jr. Library Assistant,5200,2800,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kdd@gmail.com,1000,5200-20200,Dhankawadi,JSBP0012140,Non-Teaching,kdd@gmail.com,yes,,150,200,26-08-2021,26-08-2021,permanent,NT,male,married,1234567903,"Flat no.123, A wing, B Society, Pune-411052","A/P-Narhe, Tal-Haveli, Dist-Pune-411053",Yes,13,1,1.23E+11,ABCDE1234D,Yes,,,,,2027,,,2022,,,2010,,no,,5,6,CC0/AAP/54327,05-10-2025,5,1,05-10-1975 00:12,old,,6th 
EMP136,Vinudas K.S,1.00E+11,Library,Library Attendant,5200,2400,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,1000,5200-20200,Warje,JSBP0012140,Non-Teaching,abc@gmail.com,yes,,150,200,27-08-2021,27-08-2021,permanent,open,male,married,1234567904,"Flat no.123, A wing, B Society, Pune-411053","A/P-Narhe, Tal-Haveli, Dist-Pune-411054",Yes,14,2,1.23E+11,ABCDE5678Z,Yes,,,,,2028,,,2023,,,2010,,no,,5,6,CC0/AAP/54328,05-10-2026,2,1,05-10-1975 00:13,old,,6th 
EMP137,Divya Kumar,1.00E+11,IT,Senior Clerk,9300,4600,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abcd@gmail.com,1200,9300-34800,Kothrud,JSBP0012140,Non-Teaching,abcd@gmail.com,yes,,150,200,28-08-2021,28-08-2021,permanent,open,male,married,1234567905,"Flat no.123, A wing, B Society, Pune-411054","A/P-Narhe, Tal-Haveli, Dist-Pune-411055",Yes,15,3,1.23E+11,ABCDE1234D,Yes,,,,,2029,,,2024,,,2010,,no,,5,6,CC0/AAP/54329,05-10-2027,4,1,05-10-1975 00:14,old,,6th 
EMP138,Shilpa R,1.00E+11,Accounts,Junior Clerk,9300,4600,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kshitij.deshpande7@gmail.com,1000,9300-34800,Warje,JSBP0012155,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,29-08-2021,29-08-2021,permanent,SC,male,married,1234567906,"Flat no.123, A wing, B Society, Pune-411055","A/P-Narhe, Tal-Haveli, Dist-Pune-411056",Yes,16,4,1.23E+11,ABCDE5678Z,Yes,,,,,2030,,,2025,,,2010,,no,,5,6,CC0/AAP/54330,05-10-2028,6,1,05-10-1975 00:15,old,,6th 
EMP139,Sindhu J.P,1.00E+11,Administration,Purchase Officer,9300,4200,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,ramesh@gmail.com,1200,5200-20200,Kothrud,JSBP0012155,Non-Teaching,ramesh@gmail.com,yes,,150,200,30-08-2021,30-08-2021,permanent,ST,male,married,1234567907,"Flat no.123, A wing, B Society, Pune-411056","A/P-Narhe, Tal-Haveli, Dist-Pune-411057",Yes,17,1,1.23E+11,ABCDE1234D,Yes,,,,,2031,,,2026,,,2010,,no,,5,6,CC0/AAP/54331,05-10-2029,5,1,05-10-1975 00:16,old,,6th 
EMP140,Deepthi P.S,1.00E+11,Accounts,Accounts Assistant,5200,2800,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kdd@gmail.com,1000,5200-20200,Dhankawadi,JSBP0012155,Non-Teaching,kdd@gmail.com,yes,,150,200,31-08-2021,31-08-2021,permanent,NT,male,married,1234567908,"Flat no.123, A wing, B Society, Pune-411057","A/P-Narhe, Tal-Haveli, Dist-Pune-411058",Yes,18,2,1.23E+11,ABCDE5678Z,Yes,,,,,2032,,,2027,,,2010,,no,,5,6,CC0/AAP/54332,05-10-2030,8,1,05-10-1975 00:17,old,,6th 
EMP141,Lijin k c,1.00E+11,IT,Black Smithy,5200,2400,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,5200-20200,Warje,JSBP0012155,Non-Teaching,abc@gmail.com,yes,,150,200,23-08-2021,23-08-2021,permanent,open,male,married,1234567909,"Flat no.123, A wing, B Society, Pune-411058","A/P-Narhe, Tal-Haveli, Dist-Pune-411059",Yes,19,3,1.23E+11,ABCDE1234D,Yes,,,,,2033,,,2028,,,2010,,no,,5,6,CC0/AAP/54333,05-10-2031,9,1,05-10-1975 00:18,old,,6th 
EMP142,Sayad K M,1.00E+11,IT,Asstt. Programmer,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abcd@gmail.com,0,15600-39100,Kothrud,JSBP0012155,Non-Teaching,abcd@gmail.com,yes,,150,200,24-08-2021,24-08-2021,permanent,open,male,married,1234567910,"Flat no.123, A wing, B Society, Pune-411059","A/P-Narhe, Tal-Haveli, Dist-Pune-411060",Yes,20,4,1.23E+11,ABCDE5678Z,Yes,,,,,2034,,,2029,,,2010,,no,,5,6,CC0/AAP/54334,05-10-2032,4,1,05-10-1975 00:19,old,,6th 
EMP143,Ajil k Mohanan,1.00E+11,Sports,Director of Physical Education & Sports,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kshitij.deshpande7@gmail.com,0,15600-39100,Warje,JSBP0012155,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,25-08-2021,25-08-2021,permanent,open,male,married,1234567911,"Flat no.123, A wing, B Society, Pune-411060","A/P-Narhe, Tal-Haveli, Dist-Pune-411061",Yes,21,1,1.23E+11,ABCDE1234D,Yes,,,,,2035,,,2030,,,2010,,no,,5,6,CC0/AAP/54335,05-10-2033,2,1,05-10-1975 00:20,old,,6th 
EMP144,Edison ML,1.00E+11,IT,Electrician,5200,2800,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,ramesh@gmail.com,0,5200-20200,Kothrud,JSBP0012155,Non-Teaching,ramesh@gmail.com,yes,,150,200,26-08-2021,26-08-2021,permanent,open,male,single,1234567912,"Flat no.123, A wing, B Society, Pune-411061","A/P-Narhe, Tal-Haveli, Dist-Pune-411062",Yes,22,2,1.23E+11,ABCDE5678Z,Yes,,,,,2036,,,2031,,,2010,,no,,5,6,CC0/AAP/54336,05-10-2034,5,1,05-10-1975 00:21,old,,6th 
EMP145,Basil P E,1.00E+11,CE,Network Administrator,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,kdd@gmail.com,0,15600-39100,Dhankawadi,JSBP0012155,Non-Teaching,kdd@gmail.com,yes,,150,200,27-08-2021,27-08-2021,permanent,open,male,single,1234567913,"Flat no.123, A wing, B Society, Pune-411062","A/P-Narhe, Tal-Haveli, Dist-Pune-411063",Yes,23,3,1.23E+11,ABCDE1234D,Yes,,,,,2037,,,2032,,,2010,,no,,5,6,CC0/AAP/54337,05-10-2035,1,1,05-10-1975 00:22,old,,6th 
EMP146,Jobin George,1.00E+11,CE,Workshop Instructor,9300,4200,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39100,Warje,JSBP0012155,Teaching,abc@gmail.com,no,,200,1600,28-08-2021,28-08-2021,Adhoc,open,male,married,1234567914,"Flat no.123, A wing, B Society, Pune-411063","A/P-Narhe, Tal-Haveli, Dist-Pune-411064",No,24,4,1.23E+11,ABCDE5678Z,Yes,,,,,2038,,,2033,,,2010,,no,,5,6,CC0/AAP/54338,05-10-2036,0,1,05-10-1975 00:23,old,,6th 
EMP149,KKK,1.00E+11,FE,Assistant Professor,15600,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39100,Warje,JSBP0012140,Teaching,abc@gmail.com,no,Chemistry,240,1600,29-08-2021,29-08-2021,permanent,open,male,married,1234567894,"Flat no.123, A wing, B Society, Pune-411043","A/P-Narhe, Tal-Haveli, Dist-Pune-411044",Yes,25,5,1.23E+11,ABCDE5678Z,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2041,Computer Engineering,SPPU Pune,2036,Computer Engineering,SPPU Pune,2010,,Qualified,B.Ed,5,6,CC0/AAP/54321,05-10-2037,1,1,05-10-1975 00:26,old,,6th 
EMP152,S1,1.00E+11,CE,Professor,10700,2400,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39101,Warje,JSBP0012141,Teaching,abc@gmail.com,no,,95,200,30-08-2021,30-08-2021,permanent,open,male,married,1234567891,"Flat no.123, A wing, B Society, Pune-411040","A/P-Narhe, Tal-Haveli, Dist-Pune-411041",Yes,1,1,1.23E+11,ABCDE1234D,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,15,6,CC0/AAP/12345,05-10-2013,12,0,05-10-1975 00:00,new,,6th 
EMP155,S2,1.00E+11,IT,Professor,6890,2000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39102,Warje,JSBP0012142,Teaching,abc@gmail.com,no,,95,200,31-08-2021,31-08-2021,permanent,open,male,married,1234567892,"Flat no.123, A wing, B Society, Pune-411041","A/P-Narhe, Tal-Haveli, Dist-Pune-411042",Yes,2,2,1.23E+11,ABCDE5678Z,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,10,2,CC0/AAP/1234,05-10-2014,10,1,05-10-1975 00:01,old,,6th 
EMP158,S3,1.00E+11,E&TC,Associate Professor,6880,2000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39103,Warje,JSBP0012143,Teaching,abc@gmail.com,no,,95,200,25-08-2021,25-08-2021,permanent,open,male,married,1234567893,"Flat no.123, A wing, B Society, Pune-411042","A/P-Narhe, Tal-Haveli, Dist-Pune-411043",Yes,3,3,1.23E+11,ABCDE1234D,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,5,6,CC0/AAP/9877,05-10-2015,4,1,05-10-1975 00:02,old,,6th 
EMP161,S4,1.00E+11,IT,Assistant Professor,25790,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39104,Warje,JSBP0012144,Teaching,abc@gmail.com,no,,240,1600,26-08-2021,26-08-2021,permanent,open,male,married,1234567894,"Flat no.123, A wing, B Society, Pune-411043","A/P-Narhe, Tal-Haveli, Dist-Pune-411044",Yes,4,4,1.23E+11,ABCDE5678Z,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2018,Computer Engineering,SPPU Pune,2013,Computer Engineering,SPPU Pune,2010,A,no,,5,6,CC0/AAP/20988,05-10-2016,5,1,05-10-1975 00:03,old,,6th 
EMP164,S5,1.00E+11,IT,Assistant Professor,18320,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39105,Warje,JSBP0012145,Teaching,abc@gmail.com,no,,240,1600,27-08-2021,27-08-2021,permanent,open,male,married,1234567895,"Flat no.123, A wing, B Society, Pune-411044","A/P-Narhe, Tal-Haveli, Dist-Pune-411045",Yes,5,1,1.23E+11,ABCDE1234D,Yes,,,,,2019,,,2014,,,2010,,no,,5,6,CC0/AAP/32099,05-10-2017,7,1,05-10-1975 00:04,old,,6th 
EMP167,S6,1.00E+11,IT,Assistant Professor,25780,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39106,Warje,JSBP0012146,Teaching,abc@gmail.com,no,,240,1600,28-08-2021,28-08-2021,permanent,SC,female,married,1234567896,"Flat no.123, A wing, B Society, Pune-411045","A/P-Narhe, Tal-Haveli, Dist-Pune-411046",Yes,6,2,1.23E+11,ABCDE5678Z,Yes,,,,,2020,,,2015,,,2010,,no,,5,6,CC0/AAP/43210,05-10-2018,8,1,05-10-1975 00:05,old,,6th 
EMP170,S7,1.00E+11,IT,Assistant Professor,31600,8000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39107,Warje,JSBP0012147,Teaching,abc@gmail.com,no,,240,1600,29-08-2021,29-08-2021,permanent,ST,male,married,1234567897,"Flat no.123, A wing, B Society, Pune-411046","A/P-Narhe, Tal-Haveli, Dist-Pune-411047",Yes,7,3,1.23E+11,ABCDE1234D,Yes,,,,,2021,,,2016,,,2010,,no,,5,6,CC0/AAP/54321,05-10-2019,9,1,05-10-1975 00:06,old,,6th 
EMP173,S8,1.00E+11,CE,Assistant Professor,10180,2000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39108,Warje,JSBP0012148,Teaching,abc@gmail.com,no,,95,200,30-08-2021,30-08-2021,permanent,NT,female,married,1234567898,"Flat no.123, A wing, B Society, Pune-411047","A/P-Narhe, Tal-Haveli, Dist-Pune-411048",Yes,8,4,1.23E+11,ABCDE5678Z,Yes,,,,,2022,,,2017,,,2010,,no,,5,6,CC0/AAP/54322,05-10-2020,11,1,05-10-1975 00:07,old,,6th 
EMP176,S9,1.00E+11,CE,Assistant Professor,25780,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39109,Warje,JSBP0012149,Teaching,abc@gmail.com,no,,240,1600,31-08-2021,31-08-2021,permanent,open,male,married,1234567899,"Flat no.123, A wing, B Society, Pune-411048","A/P-Narhe, Tal-Haveli, Dist-Pune-411049",Yes,9,1,1.23E+11,ABCDE1234D,Yes,,,,,2023,,,2018,,,2010,,no,,5,6,CC0/AAP/54323,05-10-2021,10,1,05-10-1975 00:08,old,,6th 
EMP179,S10,1.00E+11,CE,Assistant Professor,19810,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39110,Warje,JSBP0012150,Teaching,abc@gmail.com,no,,240,1600,23-08-2021,23-08-2021,permanent,open,female,married,1234567900,"Flat no.123, A wing, B Society, Pune-411049","A/P-Narhe, Tal-Haveli, Dist-Pune-411050",Yes,10,2,1.23E+11,ABCDE5678Z,Yes,,,,,2024,,,2019,,,2010,,no,,5,6,CC0/AAP/54324,05-10-2022,8,1,05-10-1975 00:09,old,,6th 
EMP182,S11,1.00E+11,CE,Assistant Professor,27210,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39111,Warje,JSBP0012151,Teaching,abc@gmail.com,no,,240,1600,24-08-2021,24-08-2021,permanent,SC,female,married,1234567901,"Flat no.123, A wing, B Society, Pune-411050","A/P-Narhe, Tal-Haveli, Dist-Pune-411051",Yes,11,3,1.23E+11,ABCDE1234D,Yes,,,,,2025,,,2020,,,2010,,no,,5,6,CC0/AAP/54325,05-10-2023,9,1,05-10-1975 00:10,old,,6th 
EMP185,S12,1.00E+11,E&TC,Assistant Professor,20590,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39112,Warje,JSBP0012152,Teaching,abc@gmail.com,no,,240,1600,25-08-2021,25-08-2021,permanent,ST,female,married,1234567902,"Flat no.123, A wing, B Society, Pune-411051","A/P-Narhe, Tal-Haveli, Dist-Pune-411052",Yes,12,4,1.23E+11,ABCDE5678Z,Yes,,,,,2026,,,2021,,,2010,,no,,5,6,CC0/AAP/54326,05-10-2024,7,1,05-10-1975 00:11,old,,6th 
EMP188,S13,1.00E+11,E&TC,Assistant Professor,10550,2800,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39113,Warje,JSBP0012153,Teaching,abc@gmail.com,no,,150,200,26-08-2021,26-08-2021,permanent,NT,male,married,1234567903,"Flat no.123, A wing, B Society, Pune-411052","A/P-Narhe, Tal-Haveli, Dist-Pune-411053",Yes,13,1,1.23E+11,ABCDE1234D,Yes,,,,,2027,,,2022,,,2010,,no,,5,6,CC0/AAP/54327,05-10-2025,5,1,05-10-1975 00:12,old,,6th 
EMP191,S14,1.00E+11,E&TC,Assistant Professor,20590,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39114,Warje,JSBP0012154,Teaching,abc@gmail.com,no,,240,1600,27-08-2021,27-08-2021,permanent,open,male,married,1234567904,"Flat no.123, A wing, B Society, Pune-411053","A/P-Narhe, Tal-Haveli, Dist-Pune-411054",Yes,14,2,1.23E+11,ABCDE5678Z,Yes,,,,,2028,,,2023,,,2010,,no,,5,6,CC0/AAP/54328,05-10-2026,2,1,05-10-1975 00:13,old,,6th 
EMP194,S15,1.00E+11,CE,Professor,38890,8000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39115,Warje,JSBP0012155,Teaching,abc@gmail.com,no,,240,1600,28-08-2021,28-08-2021,permanent,open,male,married,1234567905,"Flat no.123, A wing, B Society, Pune-411054","A/P-Narhe, Tal-Haveli, Dist-Pune-411055",Yes,15,3,1.23E+11,ABCDE1234D,Yes,,,,,2029,,,2024,,,2010,,no,,5,6,CC0/AAP/54329,05-10-2027,4,1,05-10-1975 00:14,old,,6th 
EMP197,S16,1.00E+11,IT,Professor,25780,6000,1800,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39116,Warje,JSBP0012156,Teaching,abc@gmail.com,no,,240,1600,29-08-2021,29-08-2021,permanent,SC,male,married,1234567906,"Flat no.123, A wing, B Society, Pune-411055","A/P-Narhe, Tal-Haveli, Dist-Pune-411056",Yes,16,4,1.23E+11,ABCDE5678Z,Yes,,,,,2030,,,2025,,,2010,,no,,5,6,CC0/AAP/54330,05-10-2028,6,1,05-10-1975 00:15,old,,6th 
EMP200,S17,1.00E+11,E&TC,Associate Professor,16250,6000,1806,8.22E+12,Janata Sahakari Bank Pune,2021-08-23,Pay Scale,abc@gmail.com,0,15600-39117,Warje,JSBP0012157,Teaching,abc@gmail.com,no,,240,1600,30-08-2021,30-08-2021,permanent,ST,male,married,1234567907,"Flat no.123, A wing, B Society, Pune-411056","A/P-Narhe, Tal-Haveli, Dist-Pune-411057",Yes,17,1,1.23E+11,ABCDE1234D,Yes,,,,,2031,,,2026,,,2010,,no,,5,6,CC0/AAP/54331,05-10-2029,5,1,05-10-1975 00:16,old,,6th 
