empID,empName,uan,dept,designation,pay,gp,pf,bankAccNum,bankName,doj,salaryCategory,emailID,groupInsurance,payBand,branchName,ifscCode,designationCategory,emailID2,nonteach,Subject,cca,ta,dop,doc,appointment,category,gender,status,mobile,address_correspondence,address_permanent,mis,biometric,vacation,seniority,dept_seniority,aadhar,Pan_No,onrole,phd,phdSub,phdUni,phdInsti,phdYr,pgSub,pgUni,pgYr,ugSub,ugUni,ugYr,grade,netset,othqual,exp,industry_exp,uni_approval,uni_app_date,uni_app_period,workexNT,dob,investment,emp_temp_regime,age,photo
11,Joseph P,100243255868,Computer,Technical Assistant,15600,6000,1800,8220100012395,Janata Sahakari Bank Pune,12/10/2013,Pay Scale,kshitij.deshpande7@gmail.com,1000,15600-39104,Warje,JSBP0012140,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,,,permanent,SC,female,married,1234567901,"Flat no.123, A wing, B Society, Pune-411050","A/P-Narhe, Tal-Haveli, Dist-Pune-411051",EMP133,EMP133,Yes,,,123466789022,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,89000,Old Regime,,
12,Aakash Patel,100243255869,IT,Lab. Assistant,15600,6000,1800,8220100012400,Janata Sahakari Bank Pune,10/03/2017,Pay Scale,ramesh@gmail.com,1200,15600-39105,Kothrud,JSBP0012140,Non-Teaching,ramesh@gmail.com,yes,,150,200,,,permanent,ST,female,married,1234567902,"Flat no.123, A wing, B Society, Pune-411051","A/P-Narhe, Tal-Haveli, Dist-Pune-411052",EMP134,EMP134,Yes,,,123467789023,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
13,Ganesh Rahu,100243255870,IT,Jr. Library Assistant,15600,6000,1800,8220100012405,Janata Sahakari Bank Pune,11/04/2014,Pay Scale,kdd@gmail.com,1000,15600-39106,Dhankawadi,JSBP0012140,Non-Teaching,kdd@gmail.com,yes,,150,200,,,permanent,NT,male,married,1234567903,"Flat no.123, A wing, B Society, Pune-411052","A/P-Narhe, Tal-Haveli, Dist-Pune-411053",EMP135,EMP135,Yes,,,123468789024,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,111000,Old Regime,,
14,Vinudas K.S,100243255871,FE,Library Attendant,15600,6000,1800,8220100012410,Janata Sahakari Bank Pune,06/07/2020,Pay Scale,abc@gmail.com,1000,15600-39107,Warje,JSBP0012140,Non-Teaching,abc@gmail.com,yes,Chemistry,150,200,,,permanent,open,male,married,1234567904,"Flat no.123, A wing, B Society, Pune-411053","A/P-Narhe, Tal-Haveli, Dist-Pune-411054",EMP136,EMP136,Yes,,,123469789025,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,58000,Old Regime,,
15,Divya Kumar,100243255872,IT,Senior Clerk,15600,6000,1800,8220100012415,Janata Sahakari Bank Pune,15/02/2015,Pay Scale,abcd@gmail.com,1200,15600-39108,Kothrud,JSBP0012140,Non-Teaching,abcd@gmail.com,yes,,150,200,,,permanent,open,male,married,1234567905,"Flat no.123, A wing, B Society, Pune-411054","A/P-Narhe, Tal-Haveli, Dist-Pune-411055",EMP137,EMP137,Yes,,,123470789026,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
16,Shilpa R,100243255873,Accounts,Junior Clerk,15600,6000,1800,8220100012420,Janata Sahakari Bank Pune,12/10/2013,Pay Scale,kshitij.deshpande7@gmail.com,1000,15600-39109,Warje,JSBP0012155,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,,,permanent,SC,male,married,1234567906,"Flat no.123, A wing, B Society, Pune-411055","A/P-Narhe, Tal-Haveli, Dist-Pune-411056",EMP138,EMP138,Yes,,,123471789027,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
17,Sindhu J.P,100243255874,Administration,Purchase Officer,15600,6000,1800,8220100012425,Janata Sahakari Bank Pune,10/10/2017,Pay Scale,ramesh@gmail.com,1200,15600-39110,Kothrud,JSBP0012155,Non-Teaching,ramesh@gmail.com,yes,,150,200,,,permanent,ST,male,married,1234567907,"Flat no.123, A wing, B Society, Pune-411056","A/P-Narhe, Tal-Haveli, Dist-Pune-411057",EMP139,EMP139,Yes,,,123472789028,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,125000,Old Regime,,
18,Deepthi P.S,100243255875,Accounts,Accounts Assistant,15600,6000,1800,8220100012430,Janata Sahakari Bank Pune,10/01/2013,Pay Scale,kdd@gmail.com,1000,15600-39111,Dhankawadi,JSBP0012155,Non-Teaching,kdd@gmail.com,yes,,150,200,,,permanent,NT,male,married,1234567908,"Flat no.123, A wing, B Society, Pune-411057","A/P-Narhe, Tal-Haveli, Dist-Pune-411058",EMP140,EMP140,Yes,,,123473789029,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
19,Lijin k c,100243255876,IT,Black Smithy,15600,6000,1800,8220100012435,Janata Sahakari Bank Pune,05/07/2021,Pay Scale,abc@gmail.com,0,15600-39112,Warje,JSBP0012155,Non-Teaching,abc@gmail.com,yes,,150,200,,,permanent,open,male,married,1234567909,"Flat no.123, A wing, B Society, Pune-411058","A/P-Narhe, Tal-Haveli, Dist-Pune-411059",EMP141,EMP141,Yes,,,123474789030,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
20,Sayad K M,100243255877,IT,Asstt. Programmer,15600,6000,1800,8220100012440,Janata Sahakari Bank Pune,15/02/2015,Pay Scale,abcd@gmail.com,0,15600-39113,Kothrud,JSBP0012155,Non-Teaching,abcd@gmail.com,yes,,150,200,,,permanent,open,male,married,1234567910,"Flat no.123, A wing, B Society, Pune-411059","A/P-Narhe, Tal-Haveli, Dist-Pune-411060",EMP142,EMP142,Yes,,,123475789031,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
21,Ajil k Mohanan,100243255878,Sports,Director of Physical Education & Sports,15600,6000,1800,8220100012445,Janata Sahakari Bank Pune,12/10/2013,Pay Scale,kshitij.deshpande7@gmail.com,0,15600-39114,Warje,JSBP0012155,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,,,permanent,open,male,married,1234567911,"Flat no.123, A wing, B Society, Pune-411060","A/P-Narhe, Tal-Haveli, Dist-Pune-411061",EMP143,EMP143,Yes,,,123476789032,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,90000,Old Regime,,
22,Edison ML,100243255879,IT,Electrician,15600,6000,1800,8220100012450,Janata Sahakari Bank Pune,10/10/2017,Pay Scale,ramesh@gmail.com,0,15600-39115,Kothrud,JSBP0012155,Non-Teaching,ramesh@gmail.com,yes,,150,200,,,permanent,open,male,single,1234567912,"Flat no.123, A wing, B Society, Pune-411061","A/P-Narhe, Tal-Haveli, Dist-Pune-411062",EMP144,EMP144,Yes,,,123477789033,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,175000,Old Regime,,
23,Basil P E,100243255880,CS,Network Administrator,15600,6000,1800,8220100012455,Janata Sahakari Bank Pune,10/01/2013,Pay Scale,kdd@gmail.com,0,15600-39116,Dhankawadi,JSBP0012155,Non-Teaching,kdd@gmail.com,yes,,150,200,,,permanent,open,male,single,1234567913,"Flat no.123, A wing, B Society, Pune-411062","A/P-Narhe, Tal-Haveli, Dist-Pune-411063",EMP145,EMP145,Yes,,,123478789034,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
24,Jobin George,100243255881,Computer,Workshop Instructor,15600,6000,1800,8220100012460,Janata Sahakari Bank Pune,05/07/2021,Pay Scale,abc@gmail.com,0,15600-39117,Warje,JSBP0012155,Teaching,abc@gmail.com,no,,200,1600,,,Adhoc,open,male,married,1234567914,"Flat no.123, A wing, B Society, Pune-411063","A/P-Narhe, Tal-Haveli, Dist-Pune-411064",EMP146,EMP146,No,,,123479789035,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,0,Old Regime,,
25,Jismon Tomy,100243255882,Computer,Assistant Professor,25000,,,8220100012465,Janata Sahakari Bank Pune,15/02/2020,consolidated,abcd@gmail.com,0,15600-39118,Kothrud,JSBP0012155,Teaching,abcd@gmail.com,no,,,,,,Adhoc,open,female,single,1234567915,"Flat no.123, A wing, B Society, Pune-411064","A/P-Narhe, Tal-Haveli, Dist-Pune-411065",EMP147,EMP147,No,,,123480789036,ABCDE1234D,,,,,,,,,,,,,,NA,,5,6,,,,,,85000,Old Regime,,
26,Sharafali P,100243255883,IT,Assistant Professor,25000,,,8220100012470,Janata Sahakari Bank Pune,11/07/2021,Consolidated,kdd@gmail.com,0,15600-39119,Kothrud,JSBP0012155,Teaching,kdd@gmail.com,no,,,,,,Adhoc,open,female,married,1234567916,"Flat no.123, A wing, B Society, Pune-411065","A/P-Narhe, Tal-Haveli, Dist-Pune-411066",EMP148,EMP148,No,,,123481789037,ABCDE5678Z,,,,,,,,,,,,,,NA,,5,6,,,,,,12500,Old Regime,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,5,6,,,,,,,Old Regime,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
