empID,empName,uan,dept,designation,pay,gp,pf,bankAccNum,bankName,doj,salaryCategory,emailID,groupInsurance,payBand,branchName,ifscCode,designationCategory,emailID2,nonteach,Subject,cca,ta,dop,doc,appointment,category,gender,status,mobile,address_correspondence,address_permanent,vacation,seniority,dept_seniority,aadhar,Pan_No,onrole,phd,phdSub,phdUni,phdInsti,phdYr,pgSub,pgUni,pgYr,ugSub,ugUni,ugYr,grade,netset,othqual,exp,industry_exp,uni_approval,uni_app_date,uni_app_period,workexNT,dob,investment,emp_temp_regime,photo,paycommission
EMP133,Joseph P,100243255868,Computer,Technical Assistant,9300,4600,1800,8220100012395,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,kshitij.deshpande7@gmail.com,1000,9300-34800,Warje,JSBP0012140,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,2021-08-33,2021-08-33,permanent,SC,female,married,1234567901,"Flat no.123, A wing, B Society, Pune-411050","A/P-Narhe, Tal-Haveli, Dist-Pune-411051",Yes,11,3,123466789022,ABCDE1234D,Yes,,,,,2025,,,2020,,,2010,,no,,5,6,CC0/AAP/54325,05-10-2023,9,1,05-10-1975 00:10,89000,Old Regime,,6th 
EMP134,Aakash Patel,100243255869,IT,Lab. Assistant,9300,4200,1800,8220100012400,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,ramesh@gmail.com,1200,9300-34800,Kothrud,JSBP0012140,Non-Teaching,ramesh@gmail.com,yes,,150,200,2021-08-34,2021-08-34,permanent,ST,female,married,1234567902,"Flat no.123, A wing, B Society, Pune-411051","A/P-Narhe, Tal-Haveli, Dist-Pune-411052",Yes,12,4,123467789023,ABCDE5678Z,Yes,,,,,2026,,,2021,,,2010,,no,,5,6,CC0/AAP/54326,05-10-2024,7,1,05-10-1975 00:11,89001,Old Regime,,6th 
EMP135,Ganesh Rahu,100243255870,IT,Jr. Library Assistant,5200,2800,1800,8220100012405,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,kdd@gmail.com,1000,5200-20200,Dhankawadi,JSBP0012140,Non-Teaching,kdd@gmail.com,yes,,150,200,2021-08-35,2021-08-35,permanent,NT,male,married,1234567903,"Flat no.123, A wing, B Society, Pune-411052","A/P-Narhe, Tal-Haveli, Dist-Pune-411053",Yes,13,1,123468789024,ABCDE1234D,Yes,,,,,2027,,,2022,,,2010,,no,,5,6,CC0/AAP/54327,05-10-2025,5,1,05-10-1975 00:12,111000,Old Regime,,6th 
EMP136,Vinudas K.S,100243255871,Library,Library Attendant,5200,2400,1800,8220100012410,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,abc@gmail.com,1000,5200-20200,Warje,JSBP0012140,Non-Teaching,abc@gmail.com,yes,,150,200,2021-08-36,2021-08-36,permanent,open,male,married,1234567904,"Flat no.123, A wing, B Society, Pune-411053","A/P-Narhe, Tal-Haveli, Dist-Pune-411054",Yes,14,2,123469789025,ABCDE5678Z,Yes,,,,,2028,,,2023,,,2010,,no,,5,6,CC0/AAP/54328,05-10-2026,2,1,05-10-1975 00:13,58000,Old Regime,,6th 
EMP137,Divya Kumar,100243255872,IT,Senior Clerk,9300,4600,1800,8220100012415,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,abcd@gmail.com,1200,9300-34800,Kothrud,JSBP0012140,Non-Teaching,abcd@gmail.com,yes,,150,200,2021-08-37,2021-08-37,permanent,open,male,married,1234567905,"Flat no.123, A wing, B Society, Pune-411054","A/P-Narhe, Tal-Haveli, Dist-Pune-411055",Yes,15,3,123470789026,ABCDE1234D,Yes,,,,,2029,,,2024,,,2010,,no,,5,6,CC0/AAP/54329,05-10-2027,4,1,05-10-1975 00:14,0,Old Regime,,6th 
EMP138,Shilpa R,100243255873,Accounts,Junior Clerk,9300,4600,1800,8220100012420,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,kshitij.deshpande7@gmail.com,1000,9300-34800,Warje,JSBP0012155,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,2021-08-38,2021-08-38,permanent,SC,male,married,1234567906,"Flat no.123, A wing, B Society, Pune-411055","A/P-Narhe, Tal-Haveli, Dist-Pune-411056",Yes,16,4,123471789027,ABCDE5678Z,Yes,,,,,2030,,,2025,,,2010,,no,,5,6,CC0/AAP/54330,05-10-2028,6,1,05-10-1975 00:15,0,Old Regime,,6th 
EMP139,Sindhu J.P,100243255874,Administration,Purchase Officer,9300,4200,1800,8220100012425,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,ramesh@gmail.com,1200,5200-20200,Kothrud,JSBP0012155,Non-Teaching,ramesh@gmail.com,yes,,150,200,2021-08-39,2021-08-39,permanent,ST,male,married,1234567907,"Flat no.123, A wing, B Society, Pune-411056","A/P-Narhe, Tal-Haveli, Dist-Pune-411057",Yes,17,1,123472789028,ABCDE1234D,Yes,,,,,2031,,,2026,,,2010,,no,,5,6,CC0/AAP/54331,05-10-2029,5,1,05-10-1975 00:16,125000,Old Regime,,6th 
EMP140,Deepthi P.S,100243255875,Accounts,Accounts Assistant,5200,2800,1800,8220100012430,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,kdd@gmail.com,1000,5200-20200,Dhankawadi,JSBP0012155,Non-Teaching,kdd@gmail.com,yes,,150,200,2021-08-40,2021-08-40,permanent,NT,male,married,1234567908,"Flat no.123, A wing, B Society, Pune-411057","A/P-Narhe, Tal-Haveli, Dist-Pune-411058",Yes,18,2,123473789029,ABCDE5678Z,Yes,,,,,2032,,,2027,,,2010,,no,,5,6,CC0/AAP/54332,05-10-2030,8,1,05-10-1975 00:17,0,Old Regime,,6th 
EMP141,Lijin k c,100243255876,IT,Black Smithy,5200,2400,1800,8220100012435,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,abc@gmail.com,0,5200-20200,Warje,JSBP0012155,Non-Teaching,abc@gmail.com,yes,,150,200,2021-08-41,2021-08-41,permanent,open,male,married,1234567909,"Flat no.123, A wing, B Society, Pune-411058","A/P-Narhe, Tal-Haveli, Dist-Pune-411059",Yes,19,3,123474789030,ABCDE1234D,Yes,,,,,2033,,,2028,,,2010,,no,,5,6,CC0/AAP/54333,05-10-2031,9,1,05-10-1975 00:18,0,Old Regime,,6th 
EMP142,Sayad K M,100243255877,IT,Asstt. Programmer,15600,6000,1800,8220100012440,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,abcd@gmail.com,0,15600-39100,Kothrud,JSBP0012155,Non-Teaching,abcd@gmail.com,yes,,150,200,2021-08-42,2021-08-42,permanent,open,male,married,1234567910,"Flat no.123, A wing, B Society, Pune-411059","A/P-Narhe, Tal-Haveli, Dist-Pune-411060",Yes,20,4,123475789031,ABCDE5678Z,Yes,,,,,2034,,,2029,,,2010,,no,,5,6,CC0/AAP/54334,05-10-2032,4,1,05-10-1975 00:19,0,Old Regime,,6th 
EMP143,Ajil k Mohanan,100243255878,Sports,Director of Physical Education & Sports,15600,6000,1800,8220100012445,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,kshitij.deshpande7@gmail.com,0,15600-39100,Warje,JSBP0012155,Non-Teaching,kshitij.deshpande7@gmail.com,yes,,150,200,2021-08-43,2021-08-43,permanent,open,male,married,1234567911,"Flat no.123, A wing, B Society, Pune-411060","A/P-Narhe, Tal-Haveli, Dist-Pune-411061",Yes,21,1,123476789032,ABCDE1234D,Yes,,,,,2035,,,2030,,,2010,,no,,5,6,CC0/AAP/54335,05-10-2033,2,1,05-10-1975 00:20,90000,Old Regime,,6th 
EMP144,Edison ML,100243255879,IT,Electrician,5200,2800,1800,8220100012450,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,ramesh@gmail.com,0,5200-20200,Kothrud,JSBP0012155,Non-Teaching,ramesh@gmail.com,yes,,150,200,2021-08-44,2021-08-44,permanent,open,male,single,1234567912,"Flat no.123, A wing, B Society, Pune-411061","A/P-Narhe, Tal-Haveli, Dist-Pune-411062",Yes,22,2,123477789033,ABCDE5678Z,Yes,,,,,2036,,,2031,,,2010,,no,,5,6,CC0/AAP/54336,05-10-2034,5,1,05-10-1975 00:21,175000,Old Regime,,6th 
EMP145,Basil P E,100243255880,CS,Network Administrator,15600,6000,1800,8220100012455,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,kdd@gmail.com,0,15600-39100,Dhankawadi,JSBP0012155,Non-Teaching,kdd@gmail.com,yes,,150,200,2021-08-45,2021-08-45,permanent,open,male,single,1234567913,"Flat no.123, A wing, B Society, Pune-411062","A/P-Narhe, Tal-Haveli, Dist-Pune-411063",Yes,23,3,123478789034,ABCDE1234D,Yes,,,,,2037,,,2032,,,2010,,no,,5,6,CC0/AAP/54337,05-10-2035,1,1,05-10-1975 00:22,0,Old Regime,,6th 
EMP146,Jobin George,100243255881,Computer,Workshop Instructor,9300,4200,1800,8220100012460,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,abc@gmail.com,0,15600-39100,Warje,JSBP0012155,Teaching,abc@gmail.com,no,,200,1600,2021-08-46,2021-08-46,Adhoc,open,male,married,1234567914,"Flat no.123, A wing, B Society, Pune-411063","A/P-Narhe, Tal-Haveli, Dist-Pune-411064",No,24,4,123479789035,ABCDE5678Z,Yes,,,,,2038,,,2033,,,2010,,no,,5,6,CC0/AAP/54338,05-10-2036,0,1,05-10-1975 00:23,0,Old Regime,,6th 
EMP149,KKK,100243255861,FE,Assistant Professor,15600,6000,1800,8220100012360,Janata Sahakari Bank Pune,2021-08-23 00:00:00,Pay Scale,abc@gmail.com,0,15600-39100,Warje,JSBP0012140,Teaching,abc@gmail.com,no,Chemistry,240,1600,2021-08-47,2021-08-47,permanent,open,male,married,1234567894,"Flat no.123, A wing, B Society, Pune-411043","A/P-Narhe, Tal-Haveli, Dist-Pune-411044",Yes,25,5,123459789015,ABCDE5678Z,Yes,Awarded,Computer Engineering,SPPU Pune,PICT Pune,2041,Computer Engineering,SPPU Pune,2036,Computer Engineering,SPPU Pune,2010,,Qualified,B.Ed,5,6,CC0/AAP/54321,05-10-2037,1,1,05-10-1975 00:26,0,Old Regime,,6th 
